"site_id","Date","DateTime","Value","Unit","CharacteristicName","USGSPCode","Result_ND","ResultSampleFractionText","BaseflowConditions"
"USGS-01125100",2017-06-27,2017-06-27 14:30:00,138,"mgLTDS","Total dissolved solids","70301",NA,"Dissolved",0
"USGS-01209710",2020-07-06,2020-07-06 14:10:00,273,"mgLTDS","Total dissolved solids","70300",NA,"Dissolved",0
"USGS-01209710",2020-07-06,2020-07-06 14:10:00,248,"mgLTDS","Total dissolved solids","70301",NA,"Dissolved",0
"USGS-01127000",2020-03-11,2020-03-11 16:15:00,91,"mgLTDS","Total dissolved solids","70300",NA,"Dissolved",0
"USGS-01127000",2020-03-11,2020-03-11 16:15:00,78,"mgLTDS","Total dissolved solids","70301",NA,"Dissolved",0
"USGS-01124000",2017-06-27,2017-06-27 13:15:00,161,"mgLTDS","Total dissolved solids","70300",NA,"Dissolved",0
"USGS-01124000",2017-06-27,2017-06-27 13:15:00,132,"mgLTDS","Total dissolved solids","70301",NA,"Dissolved",0
"USGS-01201487",2017-06-26,2017-06-26 16:30:00,407,"mgLTDS","Total dissolved solids","70300",NA,"Dissolved",0
"USGS-01192500",2017-04-20,2017-04-20 15:00:00,286,"mgLTDS","Total dissolved solids","70300",NA,"Dissolved",0
"USGS-01192500",2017-04-20,2017-04-20 15:00:00,261,"mgLTDS","Total dissolved solids","70301",NA,"Dissolved",0
"USGS-01119375",2020-08-10,2020-08-10 12:15:00,124,"mgLTDS","Total dissolved solids","70300",NA,"Dissolved",0
"USGS-01119375",2020-08-10,2020-08-10 12:15:00,115,"mgLTDS","Total dissolved solids","70301",NA,"Dissolved",0
"CT_DEP01_WQX-14456",2013-09-23,2013-09-23 16:54:00,146,"mgLTDS","Total dissolved solids",NA,NA,NA,0
"USGS-011180067",1988-08-03,1988-08-03 17:25:00,47,"mgLTDS","Total dissolved solids","70301",NA,"Dissolved",0
"USGS-01201487",2017-08-28,2017-08-28 14:30:00,494,"mgLTDS","Total dissolved solids","70300",NA,"Dissolved",0
"USGS-01201487",2017-08-28,2017-08-28 14:30:00,459,"mgLTDS","Total dissolved solids","70301",NA,"Dissolved",0
